tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name
WAIPA DISTRICT,842.1897176348002,5534265.582287926,112.21557704651269,1397914.1760574244,5.534265582287926,1.3979141760574243,0.04193742528172273,0.05591656704229698,0.06989570880287121,baseline_current_structure
WAIROA DISTRICT,63.73102903949461,388381.0478057118,6.631125496907936,82223.35315866796,0.3883810478057118,0.08222335315866797,0.0024667005947600386,0.0032889341263467185,0.004111167657933398,baseline_current_structure
WAITAKI DISTRICT,695.762179642879,4430342.683132397,86.48610009691055,1075200.5182717298,4.430342683132397,1.07520051827173,0.03225601554815189,0.0430080207308692,0.053760025913586494,baseline_current_structure
WAITOMO DISTRICT,139.82951290958047,937447.5132435093,20.844385238804286,259358.9051245394,0.9374475132435094,0.2593589051245394,0.007780767153736181,0.010374356204981576,0.01296794525622697,baseline_current_structure
WELLINGTON CITY,291.47978273623136,2092646.0661883147,53.39910653735579,666812.3071832261,2.0926460661883146,0.6668123071832261,0.020004369215496785,0.026672492287329045,0.0333406153591613,baseline_current_structure
WESTERN BAY OF PLENTY DISTRICT,570.1718752248761,3746247.264286272,84.53087399541165,1057493.967263568,3.7462472642862723,1.057493967263568,0.03172481901790704,0.04229975869054271,0.0528746983631784,baseline_current_structure
WESTLAND DISTRICT,110.95131434582247,705193.1710153457,11.910857791856657,147146.5157533739,0.7051931710153457,0.14714651575337392,0.0044143954726012175,0.005885860630134956,0.0073573257876686955,baseline_current_structure
WHAKATANE DISTRICT,328.42041928748796,2137458.978949544,43.32656306358301,539603.9322812092,2.137458978949544,0.5396039322812092,0.016188117968436274,0.02158415729124837,0.02698019661406046,baseline_current_structure
WHANGANUI DISTRICT,168.7257309555788,1058641.6264701472,20.861129286622088,260046.91427992278,1.0586416264701473,0.26004691427992277,0.007801407428397683,0.010401876571196912,0.013002345713996138,baseline_current_structure
WHANGAREI DISTRICT,622.5160584335971,4137983.8525616676,92.68660187099118,1160278.7808322627,4.137983852561668,1.1602787808322628,0.03480836342496788,0.04641115123329051,0.05801393904161314,baseline_current_structure
,97.84386394766989,667124.738184593,15.941493639885934,199135.85445683368,0.6671247381845931,0.19913585445683368,0.00597407563370501,0.007965434178273348,0.009956792722841685,baseline_current_structure
ASHBURTON DISTRICT,1768.537907490089,12343465.21835919,337.4078583284431,4318254.761080459,12.343465218359189,4.318254761080459,0.12954764283241374,0.17273019044321836,0.21591273805402295,moderate_modernization
AUCKLAND,2522.8001626490627,17758186.245883647,502.82427609861816,6458603.610602556,17.758186245883646,6.458603610602556,0.19375810831807666,0.25834414442410225,0.32293018053012784,moderate_modernization
BULLER DISTRICT,110.99713321151451,798450.3480110958,22.726545230998433,290675.6238808094,0.7984503480110958,0.2906756238808094,0.00872026871642428,0.011627024955232377,0.014533781194040472,moderate_modernization
CARTERTON DISTRICT,126.71879058284952,886228.6002731058,23.41436913505774,299326.64350850653,0.8862286002731058,0.2993266435085065,0.008979799305255196,0.011973065740340263,0.014966332175425326,moderate_modernization
CENTRAL HAWKE'S BAY DISTRICT,212.0013218261553,1504660.6339595688,42.453060530952506,545477.1692388107,1.5046606339595687,0.5454771692388106,0.01636431507716432,0.02181908676955243,0.027273858461940532,moderate_modernization
